lap,driver_idx,prob_relA,prob_relB,prob_relC,chosen_compound
13,7,0.4138,0.4934,0.0928,
14,2,0.4026,0.5065,0.0909,
15,6,0.3913,0.5197,0.0890,
16,8,0.3801,0.5328,0.0871,
20,14,0.2178,0.7737,0.0086,
23,4,0.1321,0.8601,0.0078,
23,5,0.1321,0.8601,0.0078,
23,10,0.1321,0.8601,0.0078,
23,12,0.1321,0.8601,0.0078,
23,17,0.1321,0.8601,0.0078,
24,0,0.7645,0.0212,0.2143,
24,15,0.1065,0.8854,0.0081,
24,18,0.7645,0.0212,0.2143,
25,1,0.0847,0.9068,0.0085,
25,3,0.7007,0.0237,0.2756,
25,9,0.7007,0.0237,0.2756,
25,16,0.7007,0.0237,0.2756,
26,11,0.0684,0.9221,0.0095,
27,19,0.5507,0.0288,0.4205,
32,7,0.1713,0.2920,0.5367,
34,2,0.0990,0.2195,0.6815,
34,6,0.0990,0.2195,0.6815,
35,8,0.0730,0.1868,0.7401,
