race_id,driver_id,lapno,season,location,race_progress,location_cat,rel_compound_num,remaining_pits,used_2_compounds,n_dry,cc_label
1,16,1,2014,Melbourne,0.017543859649122806,2,2,3,0,2,1
1,20,1,2014,Melbourne,0.017543859649122806,2,1,2,0,2,2
1,15,10,2014,Melbourne,0.17543859649122806,2,2,2,0,2,2
1,10,11,2014,Melbourne,0.19298245614035087,2,2,2,0,2,2
1,16,11,2014,Melbourne,0.19298245614035087,2,1,2,1,2,2
1,3,12,2014,Melbourne,0.21052631578947367,2,2,2,0,2,2
1,4,12,2014,Melbourne,0.21052631578947367,2,2,2,0,2,2
1,7,12,2014,Melbourne,0.21052631578947367,2,2,2,0,2,2
1,5,12,2014,Melbourne,0.21052631578947367,2,2,2,0,2,2
1,6,12,2014,Melbourne,0.21052631578947367,2,2,2,0,2,2
1,11,12,2014,Melbourne,0.21052631578947367,2,2,2,0,2,2
1,8,12,2014,Melbourne,0.21052631578947367,2,2,2,0,2,1
1,18,20,2014,Melbourne,0.3508771929824561,2,2,2,0,2,2
1,17,24,2014,Melbourne,0.42105263157894735,2,2,2,0,2,2
1,22,28,2014,Melbourne,0.49122807017543857,2,2,1,0,2,2
1,20,30,2014,Melbourne,0.5263157894736842,2,2,1,1,2,2
1,10,32,2014,Melbourne,0.5614035087719298,2,2,1,0,2,1
1,16,32,2014,Melbourne,0.5614035087719298,2,2,1,1,2,2
1,7,33,2014,Melbourne,0.5789473684210527,2,2,1,0,2,1
1,6,33,2014,Melbourne,0.5789473684210527,2,2,1,0,2,1
1,5,35,2014,Melbourne,0.6140350877192983,2,2,1,0,2,1
1,13,35,2014,Melbourne,0.6140350877192983,2,2,1,0,2,1
1,18,35,2014,Melbourne,0.6140350877192983,2,2,1,0,2,1
1,15,36,2014,Melbourne,0.631578947368421,2,2,1,0,2,1
1,11,36,2014,Melbourne,0.631578947368421,2,2,1,0,2,1
1,8,36,2014,Melbourne,0.631578947368421,2,1,1,1,2,2
1,4,37,2014,Melbourne,0.6491228070175439,2,2,1,0,2,1
1,3,38,2014,Melbourne,0.6666666666666666,2,2,1,0,2,1
1,17,41,2014,Melbourne,0.7192982456140351,2,2,1,0,2,1
2,11,2,2014,KualaLumpur,0.03571428571428571,2,2,3,0,2,2
2,4,9,2014,KualaLumpur,0.16071428571428573,2,2,3,0,2,2
2,8,10,2014,KualaLumpur,0.17857142857142858,2,2,3,0,2,2
2,17,10,2014,KualaLumpur,0.17857142857142858,2,2,3,0,2,2
2,5,11,2014,KualaLumpur,0.19642857142857142,2,2,3,0,2,2
2,19,11,2014,KualaLumpur,0.19642857142857142,2,2,3,0,2,2
2,9,12,2014,KualaLumpur,0.21428571428571427,2,2,3,0,2,2
2,22,12,2014,KualaLumpur,0.21428571428571427,2,2,3,0,2,2
2,12,13,2014,KualaLumpur,0.23214285714285715,2,2,3,0,2,2
2,10,13,2014,KualaLumpur,0.23214285714285715,2,2,3,0,2,2
2,3,14,2014,KualaLumpur,0.25,2,2,3,0,2,2
2,15,14,2014,KualaLumpur,0.25,2,2,3,0,2,2
2,1,15,2014,KualaLumpur,0.26785714285714285,2,2,2,0,2,2
2,14,15,2014,KualaLumpur,0.26785714285714285,2,2,2,0,2,2
2,7,16,2014,KualaLumpur,0.2857142857142857,2,2,2,0,2,2
2,11,18,2014,KualaLumpur,0.32142857142857145,2,2,2,0,2,1
2,8,22,2014,KualaLumpur,0.39285714285714285,2,2,2,0,2,1
